iddblp;idscholar;id_d;id_s
conf/sigmod/HellersteinA00;ZuCOw9hYVU8J;65058;2573
conf/vldb/Ganguly98;a8cB2S6Td-sJ;65905;2582
journals/vldb/JagadishACLNPPSWWY02;T1c1QfSdUVQJ;66733;2588
conf/sigmod/RundensteinerWYD02;7MfXAAdBQ2EJ;64844;2607
conf/vldb/FangSGMU98;HFpxyLAucfMJ;65911;2608
conf/sigmod/AcharyaFZ97;qdCTR7WpuFUJ;65505;2614
conf/vldb/WiesnerK01;UrDwK2S7QVwJ;65537;2621
conf/vldb/BeneventanoBCCGMMV00;Q6jRYrIlTM4J;65589;2622
journals/sigmod/Roussopoulos98;u2jFZnoPLM8J;64882;2634
conf/sigmod/NgLHP98;qOzU69R5hdAJ;65387;2641
conf/vldb/AnciauxBBPV01;H2qCU9-_uykJ;65493;2660
journals/sigmod/KempsterST99;JfmkT9KvKWoJ;64530;2662
conf/vldb/JensenL01;yUDkYbmDTXIJ;65530;2687
conf/sigmod/ChenJDTW00;EKNLKC2nEGwJ;65110;2692
conf/sigmod/AcharyaAFZ95;y74PIIvb_GMJ;65804;2708
conf/sigmod/Tajima96;IZSzLlgi8tUJ;65782;2711
journals/vldb/SuHHHLWLPLL01;IR6h-pIuL8MJ;66768;2761
journals/sigmod/MeltonMJKS02;cvBAdEvcTSkJ;64356;2777
conf/sigmod/SunAA03;wR6CGftUyH0J;64576;2810
conf/sigmod/HellersteinN96;tKewiQ5_kyIJ;65776;2835
conf/sigmod/BlakeleyD00;url:http://portal.acm.org/citation.cfm%3Fid%3D335191.335480%26coll%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222;65139;2839
journals/sigmod/AndlerHEMBE96;WZ823oj6x3cJ;64936;2840
conf/sigmod/LivnyRBCDLMW97;UqI8eTF3k7sJ;65599;2843
conf/vldb/BargaP95;clqEOLT55pUJ;66237;2861
journals/sigmod/CrestaniG02;tyZxVraNgTsJ;64353;2873
journals/sigmod/Colliat96;y0HXub5QzkYJ;64925;2875
journals/sigmod/CalvaneseGLV03;pGcIRyDyFG8J;66124;2880
journals/vldb/LinJF94;8-USisLIGMMJ;66825;2892
conf/sigmod/NgLHM99;YemauUgIzlcJ;65234;2896
journals/sigmod/Bernstein98;AYEI8XDoY9wJ;64899;2897
conf/vldb/YiF00;J8maiu6CF0EJ;65475;2916
journals/sigmod/WestmannKHM00;BmJKyK7NlOoJ;64566;2918
journals/sigmod/Lomet98;ytRfS_upf-0J;64855;2942
conf/sigmod/AcharyaGPR99a;IkNOhDqEY18J;65263;2973
journals/vldb/Ozsu03;url:http://www.springerlink.com/index/3G9E0YCGLRQFPN89.pdf;66727;2999
conf/vldb/Brodie00;uFCOiVkDZE8J;65566;3015
journals/sigmod/Snodgrass94;SYVDufoTe_IJ;65183;3033
journals/sigmod/Rosneblatt94;D1RdxKP6_6YJ;65254;3055
conf/vldb/GravanoG95;jXClQzlN5SgJ;66199;3081
conf/vldb/KamelF94;b9ey7z1gs2IJ;64523;3094
conf/vldb/GravanoG95;F2mmoq6cRGMJ;66199;3098
conf/sigmod/GravanoGT94;OYFpMlm5yCQJ;66008;3101
journals/vldb/RamamurthyDS03;vGFdY2gG8YsJ;66551;3116
conf/vldb/RamamurthyDS02;vGFdY2gG8YsJ;66456;3116
journals/sigmod/NorrieBSW94;ctEdyJRdTbkJ;65191;3124
conf/sigmod/ForlizziGNS00;vtX2CRPJunMJ;65064;3131
conf/sigmod/ONeilQ97;359PjJkfNhQJ;65565;3138
journals/sigmod/SnodgrassAABCDEGJKKKLLRSSS94;64iWa-ZiPRcJ;65188;3145
conf/vldb/SenkulKT02;g7HDbO4GCN4J;66393;3150
conf/vldb/HumborstadSHT97;TjJZGlCajbMJ;65936;3155
conf/vldb/Brin95;gOuz-7q2rRUJ;64376;3180
journals/tods/CliffordDIJS97;q9_l2Bqj5y4J;66543;3189
journals/vldb/PapadiasS94;_ANyhrnP3CoJ;66807;3194
conf/sigmod/KementsietsidisAM03;vO7aBWspoyMJ;64624;3207
conf/vldb/AgrawalS94;HfEQzVOD9tsJ;64364;3212
conf/sigmod/BaruGLMPVC99;3SHIgRrrL5QJ;65390;3226
journals/vldb/PottingerH01;Kv3ZFRUKCogJ;66764;3230
conf/vldb/PottingerL00;Kv3ZFRUKCogJ;65479;3230
conf/sigmod/FaloutsosL95;43b8e16YZlEJ;65808;3234
journals/sigmod/ChristoffelPSL98;JXiJ0MIQSf0J;64655;3237
conf/vldb/CatozziR01;UQY439hXMEgJ;65495;3247
journals/sigmod/AtzeniMM97;9CDasz2P9wsJ;64782;3249
conf/sigmod/LitwinS00;f1h0J1_ELisJ;65099;3263
conf/sigmod/GriffinL95;6QZGeKna5lgJ;65880;3275
journals/tods/BrightHP94;BHvvo_nJxucJ;66570;3283
conf/vldb/XieH94;jlnGGhVJ438J;64521;3288
conf/sigmod/Mohan94;IWM2gExnQLkJ;65998;3291
conf/vldb/DayalHL01;XwzOOLb-ZMIJ;66448;3293
journals/sigmod/GrayG97;fFCqy9V5XNgJ;64798;3308
conf/vldb/ArgePRSV98;H-AQePr2evUJ;66011;3334
conf/sigmod/Mohan96;14cgU3tAHtgJ;65762;3343
journals/sigmod/SmithO99;-iis302p2MkJ;64712;3346
conf/sigmod/KanthAS98;LImRBeAtjMQJ;65405;3391
conf/vldb/GoyalHSS95;2w2qkhr3k3kJ;64325;3412
journals/sigmod/Qian96b;url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D245909%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222;65032;3416
conf/vldb/Garcia-MolinaLY98;lWVWAhlsyYYJ;65925;3422
conf/vldb/BouguettayaEMO01;n-tA57d7ydcJ;65544;3466
conf/sigmod/SismanisDRK02;yGIQGlCDaJgJ;64759;3484
conf/sigmod/RafieiM97;UBACGF9cQ2UJ;65591;3487
conf/vldb/YanA94;OcLgpNTQxIsJ;64471;3533
conf/sigmod/BohlenBD99;X2odIfnOC88J;65322;3540
conf/sigmod/SaltenisJLL00;odsY0ehPPhIJ;65113;3543
journals/sigmod/CarmelMS01;hB-ZA0wX-fsJ;64629;3548
conf/vldb/VelegrakisMP03;JYQUV-XahekJ;66370;3559
conf/sigmod/KanthRA02;RgDMwqhT30wJ;64820;3563
journals/vldb/VaghaniRKSSLH94;B3E3_clrrrYJ;66819;3564
conf/vldb/GoldmanW97;l5GboAkBH1AJ;65967;3596
journals/vldb/LometS97;QIv1JU2suAEJ;66677;3601
journals/sigmod/CuiJO02;LIUl6zpveGQJ;64504;3621
journals/sigmod/Gaffney96;uaT2hY6421UJ;64965;3622
conf/vldb/BaralisW94;nqaF5CzBelgJ;64362;3636
conf/sigmod/BuchmannDZH95;IU1cjdPVT6cJ;65937;3668
conf/vldb/HuangJR97;WafY0er_xewJ;66168;3671
journals/sigmod/BernsteinHP00;FFzJxlpy6TsJ;64625;3689
conf/vldb/HanF95;jQaZA3mmmakJ;66218;3693
journals/tods/WijesekeraJPH03;oui-frSWZCAJ;65214;3703
journals/sigmod/RamamrithamSSTX96;kezAM71rts0J;64943;3723
conf/sigmod/BunemanDHS96;AtUsoMh8rY4J;65717;3729
conf/sigmod/LakshmananPZ03;F1aaWSFF8TcJ;64526;3751
conf/vldb/Wang95;kYYJq-JrCn0J;64301;3757
conf/vldb/ZouS98;Hov18raBHwIJ;66004;3769
conf/sigmod/GillmannWW02;idT5wOZXM-wJ;64799;3772
conf/sigmod/Ojjeh99;url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D304245%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222;65294;3804
journals/sigmod/SegevJS95;2kiNfwTpqp4J;65107;3830
conf/sigmod/HjaltasonS98;hFnyy0PFe1MJ;65423;3841
conf/vldb/DillKMRST01;_dtqcPU4NdkJ;65299;3856
conf/vldb/GoldmanW97;UeLjlfHU_gkJ;65967;3883
conf/sigmod/BunemanDHS96;BQltSXRqmSEJ;65717;3886
conf/vldb/Guting94;ykx565n8SRkJ;64351;3894
conf/sigmod/MeccaAMMS98;v2KwhRi-OrMJ;65531;3921
conf/vldb/Sarawagi00;z5DmAoBjsjAJ;65631;3929
conf/vldb/HuangJR97;nBHS2BTx-GkJ;66168;3944
journals/sigmod/KuokFW98;LqcSQT8NlVwJ;64879;3959
conf/sigmod/AgrawalGGR98;y55xkFQJvxAJ;65396;3975
conf/vldb/LakshmananSS96;Yuccv3uXgUQJ;66844;3980
conf/vldb/BernsteinPS99;JcHiZlbsts0J;65778;4004
conf/sigmod/HinneburgKW02;T1dmP2NL1aYJ;64725;4005
conf/vldb/FangSGMU98;F8EAXPxQQsIJ;65911;4032
conf/sigmod/SzalayGKT00;6Kdau1eh-hMJ;65042;4035
conf/vldb/NatsevCSLV01;2CYtbbiwv-AJ;65321;4074
conf/vldb/VieiraM03;sUtdmV9XsIcJ;66275;4112
conf/vldb/HulgeriS03;l5_H15LkpCsJ;66269;4114
conf/sigmod/LometW98;5SmDfJWfFvUJ;65369;4127
conf/sigmod/KrollW94;zd_8s13rNRoJ;65980;4128
conf/vldb/LakshmiZ98;QmXB6EKu-pYJ;66017;4139
journals/sigmod/SommerGB02;fFLey-_2UM4J;64498;4147
journals/sigmod/LudascherMM01;16yr6uv8Rn8J;64412;4150
conf/sigmod/Carey94;Lj8CI8ALd9UJ;66078;4153
conf/vldb/OzsuLON01;qqdXmdgAaMgJ;65392;4162
conf/sigmod/HanFHCC94;6M-fnuhWEOIJ;66095;4163
conf/vldb/NaumannLF99;gvua8jbnHPkJ;65703;4219
conf/sigmod/SaltenisJLL00;LMm4_4_uNNoJ;65113;4237
journals/sigmod/TanK03;qIzj09N-Qr8J;66120;4251
conf/vldb/CarneyCZRCS03;JubkWSUFbbcJ;66294;4267
conf/vldb/Mina98;6SiX0ZUh1x0J;66047;4268
conf/sigmod/CareyDFHMNSSTTWZ94;PPV8eOf-uooJ;66041;4280
journals/sigmod/BabuW01;VLOGPMjpyZ0J;64446;4303
conf/vldb/BertinoBFS96;s0v9B-K8owEJ;66864;4308
journals/tods/CuiWW00;yWDXpb_76z0J;66578;4310
conf/vldb/ArunJ98;1dqeMksCm74J;66030;4326
conf/sigmod/OlstonJW03;fW0CpIqoV7QJ;64559;4337
conf/sigmod/GardarinMP95;VOxehNSHEWQJ;65855;4343
journals/vldb/BarbaraI95;GXhaGGajWZkJ;66799;4355
conf/sigmod/BarbaraI94;GXhaGGajWZkJ;66016;4355
conf/sigmod/HanKS97;XFCkL9QhTjIJ;65590;4357
conf/sigmod/GuhaRS98;WHHfHdG_ougJ;65400;4382
conf/vldb/BonczRK98;965BXzMPxSoJ;66023;4392
conf/sigmod/TomasicABKNR97;HopegqxaBtoJ;65627;4411
journals/sigmod/DogacAOD95;oUOuTMrB0esJ;65040;4449
conf/sigmod/FaloutsosRM94;4bG39HmGrAQJ;65978;4472
journals/tods/Revesz98;dr8s9hbwjR0J;66625;4498
conf/vldb/ChoG00;Hd90xxjjPokJ;65643;4506
journals/tods/WandSW99;pYtOkFSgdXYJ;66637;4529
conf/vldb/SistlaYH94;FT4Sfn-Z7GUJ;64510;4534
conf/sigmod/KemperMPS94;ChCPyLiBpr4J;66050;4546
conf/sigmod/AmbiteABKMMMPT98;L7XmLpQLXBIJ;65454;4552
conf/vldb/ZimbraoS98;XPfu8WEfKHkJ;65916;4553
conf/sigmod/YanMHF01;z1HqFeqNEjgJ;64891;4565
conf/sigmod/GrossmanQ94;yjqdBeNw5WoJ;66107;4591
conf/vldb/ChangG97;0NK87fQBfPUJ;65972;4610
conf/sigmod/DogacAEOADAOS94;fsa72WmA67kJ;66116;4621
conf/sigmod/DogacHKOONDMAKE96;fsa72WmA67kJ;65750;4621
conf/vldb/RaghavanG01;9Wo54Wyh_X8J;66442;4639
conf/vldb/LernerS03;KtkbM7ohXrEJ;66367;4656
journals/sigmod/BoulosO99;0mk_QzaJKHEJ;64756;4669
conf/sigmod/AshleyFHLNP95;9uxj2XzGt9UJ;65939;4679
